to,1992M12,from
Spain,35,Bolivia
Finland,0,Bolivia
France,5,Bolivia
Italy,0,Bolivia
Luxembourg,0,Bolivia
Portugal,0,Bolivia
Romania,0,Bolivia
Austria,0,Brazil
Belgium,0,Brazil
Denmark,0,Brazil
Spain,60,Brazil
Finland,0,Brazil
France,0,Brazil
Italy,0,Brazil
Luxembourg,0,Brazil
Portugal,0,Brazil
Romania,0,Brazil
Sweden,10,Brazil
Austria,0,Chile
Belgium,30,Chile
Denmark,5,Chile
Spain,50,Chile
Finland,0,Chile
France,70,Chile
Italy,0,Chile
Luxembourg,0,Chile
Portugal,0,Chile
Romania,0,Chile
Sweden,100,Chile
Austria,0,Colombia
Belgium,50,Colombia
Denmark,5,Colombia
Spain,250,Colombia
Finland,0,Colombia
France,95,Colombia
Italy,0,Colombia
Luxembourg,0,Colombia
Portugal,0,Colombia
Romania,0,Colombia
Sweden,180,Colombia
United Kingdom,280,Colombia
Austria,0,Ecuador
Belgium,0,Ecuador
Denmark,0,Ecuador
Spain,150,Ecuador
Finland,0,Ecuador
France,10,Ecuador
Italy,0,Ecuador
Luxembourg,0,Ecuador
Portugal,0,Ecuador
Romania,0,Ecuador
Austria,0,Guyana
Belgium,0,Guyana
Denmark,0,Guyana
Finland,0,Guyana
France,5,Guyana
Italy,0,Guyana
Luxembourg,0,Guyana
Portugal,0,Guyana
Romania,0,Guyana
Austria,0,Paraguay
Belgium,0,Paraguay
Denmark,0,Paraguay
Spain,0,Paraguay
Finland,0,Paraguay
France,0,Paraguay
Italy,0,Paraguay
Luxembourg,0,Paraguay
Portugal,0,Paraguay
Romania,0,Paraguay
Austria,0,Peru
Belgium,50,Peru
Denmark,10,Peru
Spain,2795,Peru
Finland,0,Peru
France,135,Peru
Italy,0,Peru
Luxembourg,5,Peru
Netherlands,15,Peru
Portugal,0,Peru
Romania,0,Peru
Sweden,785,Peru
Austria,0,Suriname
Belgium,0,Suriname
Denmark,0,Suriname
Finland,0,Suriname
France,0,Suriname
Italy,0,Suriname
Luxembourg,0,Suriname
Netherlands,55,Suriname
Portugal,0,Suriname
Romania,0,Suriname
Austria,0,Uruguay
Denmark,0,Uruguay
Spain,5,Uruguay
Finland,0,Uruguay
France,0,Uruguay
Italy,0,Uruguay
Luxembourg,0,Uruguay
Portugal,0,Uruguay
Romania,0,Uruguay
Sweden,0,Uruguay
Austria,0,Venezuela
Denmark,0,Venezuela
Spain,15,Venezuela
Finland,0,Venezuela
France,0,Venezuela
Italy,0,Venezuela
Luxembourg,0,Venezuela
Portugal,0,Venezuela
Romania,0,Venezuela
Sweden,10,Venezuela
Austria,2860,Asia
Belgium,2800,Asia
Germany,56480,Asia
Denmark,1950,Asia
Greece,1525,Asia
Spain,830,Asia
Finland,370,Asia
France,11125,Asia
Italy,160,Asia
Luxembourg,10,Asia
Netherlands,4555,Asia
Portugal,15,Asia
Sweden,5895,Asia
United Kingdom,8080,Asia
Austria,0,Kazakhstan
Greece,0,Kazakhstan
Netherlands,0,Kazakhstan
Portugal,0,Kazakhstan
Romania,0,Kazakhstan
Sweden,0,Kazakhstan
Austria,0,Kyrgyzstan
Greece,0,Kyrgyzstan
Netherlands,0,Kyrgyzstan
Portugal,0,Kyrgyzstan
Romania,0,Kyrgyzstan
Sweden,5,Kyrgyzstan
Austria,0,Tajikistan
Greece,0,Tajikistan
Netherlands,0,Tajikistan
Portugal,0,Tajikistan
Romania,0,Tajikistan
Sweden,5,Tajikistan
Austria,0,Turkmenistan
Greece,0,Turkmenistan
Netherlands,0,Turkmenistan
Portugal,0,Turkmenistan
Romania,0,Turkmenistan
Sweden,0,Turkmenistan
Austria,0,Uzbekistan
Greece,0,Uzbekistan
Netherlands,10,Uzbekistan
Portugal,0,Uzbekistan
Romania,0,Uzbekistan
Romania,0,China (including Hong Kong)
Austria,0,Hong Kong
Austria,0,Japan
Denmark,0,Japan
Spain,0,Japan
Finland,0,Japan
Italy,0,Japan
Luxembourg,0,Japan
Portugal,0,Japan
Romania,0,Japan
Austria,0,Mongolia
Denmark,0,Mongolia
Spain,0,Mongolia
Finland,0,Mongolia
Italy,0,Mongolia
Luxembourg,0,Mongolia
Portugal,0,Mongolia
Romania,0,Mongolia
Austria,0,North Korea
Denmark,0,North Korea
Spain,0,North Korea
Finland,0,North Korea
Italy,0,North Korea
Luxembourg,0,North Korea
Portugal,0,North Korea
Romania,0,North Korea
Austria,0,South Korea
Denmark,0,South Korea
Spain,0,South Korea
Finland,0,South Korea
Italy,0,South Korea
Luxembourg,0,South Korea
Portugal,0,South Korea
Romania,0,South Korea
Austria,0,Taiwan
Denmark,0,Taiwan
Greece,0,Taiwan
Spain,0,Taiwan
Finland,0,Taiwan
Italy,0,Taiwan
Luxembourg,0,Taiwan
Portugal,0,Taiwan
Romania,0,Taiwan
Austria,80,Afghanistan
Belgium,20,Afghanistan
Germany,6350,Afghanistan
Denmark,125,Afghanistan
Spain,30,Afghanistan
Finland,10,Afghanistan
France,110,Afghanistan
Italy,10,Afghanistan
Luxembourg,0,Afghanistan
Netherlands,350,Afghanistan
Portugal,0,Afghanistan
Romania,0,Afghanistan
Austria,300,Bangladesh
Belgium,280,Bangladesh
Denmark,40,Bangladesh
Spain,130,Bangladesh
Finland,55,Bangladesh
France,365,Bangladesh
Italy,0,Bangladesh
Luxembourg,0,Bangladesh
Netherlands,45,Bangladesh
Portugal,0,Bangladesh
Romania,0,Bangladesh
Sweden,290,Bangladesh
United Kingdom,165,Bangladesh
Austria,0,Bhutan
Belgium,0,Bhutan
Denmark,0,Bhutan
Spain,0,Bhutan
Finland,0,Bhutan
Italy,0,Bhutan
Luxembourg,0,Bhutan
Portugal,0,Bhutan
Romania,0,Bhutan
Austria,210,India
Belgium,1035,India
Germany,5800,India
Denmark,25,India
Greece,0,India
Spain,10,India
Finland,5,India
France,765,India
Italy,10,India
Luxembourg,0,India
Netherlands,95,India
Portugal,5,India
Romania,0,India
Sweden,110,India
United Kingdom,1450,India
Austria,650,Iran
Belgium,135,Iran
Germany,3835,Iran
Denmark,200,Iran
Greece,20,Iran
Spain,45,Iran
Finland,35,Iran
France,185,Iran
Italy,20,Iran
Luxembourg,5,Iran
Netherlands,1300,Iran
Portugal,0,Iran
Romania,25,Iran
Sweden,755,Iran
United Kingdom,405,Iran
Austria,0,Maldives
Romania,0,Maldives
Austria,0,Nepal
Belgium,30,Nepal
Denmark,0,Nepal
Spain,0,Nepal
Finland,0,Nepal
France,5,Nepal
Italy,0,Nepal
Luxembourg,0,Nepal
Portugal,0,Nepal
Romania,0,Nepal
Austria,270,Pakistan
Belgium,700,Pakistan
Germany,5215,Pakistan
Denmark,40,Pakistan
Greece,5,Pakistan
Spain,40,Pakistan
Finland,5,Pakistan
France,885,Pakistan
Italy,20,Pakistan
Luxembourg,0,Pakistan
Netherlands,110,Pakistan
Portugal,5,Pakistan
Romania,5,Pakistan
Sweden,40,Pakistan
United Kingdom,1700,Pakistan
Austria,135,Sri Lanka
Belgium,145,Sri Lanka
Germany,5305,Sri Lanka
Denmark,360,Sri Lanka
Greece,5,Sri Lanka
Spain,25,Sri Lanka
Finland,30,Sri Lanka
France,3960,Sri Lanka
Italy,50,Sri Lanka
Luxembourg,0,Sri Lanka
Netherlands,1035,Sri Lanka
Portugal,0,Sri Lanka
Romania,0,Sri Lanka
Sweden,505,Sri Lanka
United Kingdom,2085,Sri Lanka
Austria,0,Brunei Darussalam
Belgium,0,Brunei Darussalam
Denmark,0,Brunei Darussalam
Spain,0,Brunei Darussalam
Finland,0,Brunei Darussalam
Italy,0,Brunei Darussalam
Luxembourg,0,Brunei Darussalam
Portugal,0,Brunei Darussalam
Romania,0,Brunei Darussalam
Austria,0,Cambodia
Belgium,5,Cambodia
Denmark,0,Cambodia
Spain,0,Cambodia
Finland,0,Cambodia
France,700,Cambodia
Italy,0,Cambodia
Luxembourg,0,Cambodia
Portugal,0,Cambodia
Romania,0,Cambodia
Austria,0,Indonesia
Denmark,0,Indonesia
Spain,0,Indonesia
Finland,0,Indonesia
France,0,Indonesia
Italy,0,Indonesia
Luxembourg,0,Indonesia
Portugal,0,Indonesia
Romania,0,Indonesia
Austria,0,Laos
Belgium,15,Laos
Denmark,0,Laos
Spain,0,Laos
Finland,0,Laos
France,570,Laos
Italy,0,Laos
Luxembourg,0,Laos
Portugal,0,Laos
Romania,0,Laos
Austria,0,Malaysia
Denmark,0,Malaysia
Spain,0,Malaysia
Finland,0,Malaysia
France,0,Malaysia
Italy,0,Malaysia
Luxembourg,0,Malaysia
Portugal,0,Malaysia
Romania,0,Malaysia
Sweden,25,Malaysia
Austria,0,Myanmar/Burma
Belgium,5,Myanmar/Burma
Denmark,0,Myanmar/Burma
Spain,0,Myanmar/Burma
Finland,0,Myanmar/Burma
France,10,Myanmar/Burma
Italy,0,Myanmar/Burma
Luxembourg,0,Myanmar/Burma
Portugal,0,Myanmar/Burma
Romania,0,Myanmar/Burma
Austria,0,Philippines
Belgium,5,Philippines
Denmark,0,Philippines
Spain,70,Philippines
Finland,0,Philippines
France,5,Philippines
Italy,0,Philippines
Luxembourg,0,Philippines
Portugal,0,Philippines
Romania,0,Philippines
Sweden,10,Philippines
Austria,0,Singapore
Denmark,0,Singapore
Spain,0,Singapore
Finland,0,Singapore
Italy,0,Singapore
Luxembourg,0,Singapore
Portugal,0,Singapore
Romania,0,Singapore
Austria,0,Thailand
Denmark,0,Thailand
Spain,0,Thailand
Finland,0,Thailand
France,5,Thailand
Italy,0,Thailand
Luxembourg,0,Thailand
Portugal,0,Thailand
Romania,0,Thailand
Austria,0,Timor-Leste
Romania,0,Timor-Leste
Austria,50,Vietnam
Belgium,105,Vietnam
Germany,12260,Vietnam
Denmark,0,Vietnam
Spain,5,Vietnam
Finland,0,Vietnam
France,1065,Vietnam
Italy,10,Vietnam
Luxembourg,0,Vietnam
Netherlands,30,Vietnam
Portugal,0,Vietnam
Romania,0,Vietnam
Sweden,5,Vietnam
Austria,0,Armenia
Belgium,15,Armenia
Greece,0,Armenia
Netherlands,40,Armenia
Portugal,0,Armenia
Romania,0,Armenia
Sweden,25,Armenia
Austria,0,Azerbaijan
Belgium,0,Azerbaijan
Greece,0,Azerbaijan
Netherlands,10,Azerbaijan
Portugal,0,Azerbaijan
Romania,0,Azerbaijan
Sweden,5,Azerbaijan
Austria,0,Bahrain
Denmark,0,Bahrain
Spain,0,Bahrain
Finland,0,Bahrain
Italy,0,Bahrain
Luxembourg,0,Bahrain
Portugal,0,Bahrain
Romania,0,Bahrain
Austria,0,Georgia
Belgium,15,Georgia
Greece,0,Georgia
Netherlands,25,Georgia
Portugal,0,Georgia
Romania,0,Georgia
Sweden,5,Georgia
Austria,1025,Iraq
Belgium,95,Iraq
Denmark,930,Iraq
Greece,1480,Iraq
Spain,410,Iraq
Finland,145,Iraq
France,245,Iraq
Italy,30,Iraq
Luxembourg,5,Iraq
Netherlands,770,Iraq
Portugal,0,Iraq
Romania,65,Iraq
Sweden,3215,Iraq
United Kingdom,700,Iraq
Austria,0,Israel
Belgium,10,Israel
Denmark,10,Israel
Greece,0,Israel
Spain,0,Israel
Finland,30,Israel
France,15,Israel
Italy,0,Israel
Luxembourg,0,Israel
Netherlands,30,Israel
Portugal,0,Israel
Romania,0,Israel
Sweden,20,Israel
Austria,0,Jordan
Belgium,25,Jordan
Denmark,5,Jordan
Greece,0,Jordan
Spain,5,Jordan
Finland,15,Jordan
France,5,Jordan
Italy,0,Jordan
Luxembourg,0,Jordan
Netherlands,20,Jordan
Portugal,0,Jordan
Romania,0,Jordan
Sweden,30,Jordan
Austria,0,Kuwait
Denmark,0,Kuwait
Spain,0,Kuwait
Finland,0,Kuwait
Italy,0,Kuwait
Luxembourg,0,Kuwait
Portugal,0,Kuwait
Romania,0,Kuwait
Austria,80,Lebanon
Belgium,90,Lebanon
Germany,5620,Lebanon
Denmark,85,Lebanon
Spain,20,Lebanon
Finland,15,Lebanon
France,65,Lebanon
Italy,20,Lebanon
Luxembourg,0,Lebanon
Netherlands,255,Lebanon
Portugal,0,Lebanon
Romania,0,Lebanon
Sweden,235,Lebanon
United Kingdom,380,Lebanon
Austria,0,Palestine
Germany,0,Palestine
Denmark,0,Palestine
Spain,0,Palestine
Finland,0,Palestine
France,30,Palestine
Italy,0,Palestine
Luxembourg,0,Palestine
Portugal,0,Palestine
Romania,0,Palestine
Austria,0,Oman
Belgium,0,Oman
Denmark,0,Oman
Spain,0,Oman
Finland,0,Oman
Italy,0,Oman
Luxembourg,0,Oman
Portugal,0,Oman
Romania,0,Oman
Austria,0,Qatar
Romania,0,Qatar
Austria,0,Saudi Arabia
Denmark,0,Saudi Arabia
Greece,0,Saudi Arabia
Spain,0,Saudi Arabia
Finland,0,Saudi Arabia
France,0,Saudi Arabia
Italy,0,Saudi Arabia
Luxembourg,0,Saudi Arabia
Portugal,0,Saudi Arabia
Romania,0,Saudi Arabia
Austria,20,Syria
Belgium,50,Syria
Denmark,35,Syria
Greece,0,Syria
Spain,10,Syria
Finland,20,Syria
France,35,Syria
Italy,0,Syria
Luxembourg,0,Syria
Netherlands,235,Syria
Portugal,0,Syria
Romania,0,Syria
Sweden,295,Syria
Austria,0,United Arab Emirates
Denmark,40,United Arab Emirates
Spain,0,United Arab Emirates
Finland,0,United Arab Emirates
Italy,0,United Arab Emirates
Luxembourg,0,United Arab Emirates
Portugal,0,United Arab Emirates
Romania,0,United Arab Emirates
Austria,0,Yemen
Denmark,0,Yemen
Spain,0,Yemen
Finland,0,Yemen
Italy,0,Yemen
Luxembourg,0,Yemen
Portugal,0,Yemen
Romania,0,Yemen
Austria,0,Oceania
Belgium,0,Oceania
Germany,0,Oceania
Denmark,5,Oceania
Greece,0,Oceania
Spain,0,Oceania
Finland,0,Oceania
Italy,0,Oceania
Luxembourg,0,Oceania
Portugal,0,Oceania
United Kingdom,0,Oceania
Austria,0,Australia
Denmark,5,Australia
Greece,0,Australia
Spain,0,Australia
Finland,0,Australia
Italy,0,Australia
Luxembourg,0,Australia
Portugal,0,Australia
Romania,0,Australia
United Kingdom,0,Australia
Austria,0,New Zealand
Denmark,0,New Zealand
Greece,0,New Zealand
Spain,0,New Zealand
Finland,0,New Zealand
Italy,0,New Zealand
Luxembourg,0,New Zealand
Portugal,0,New Zealand
Romania,0,New Zealand
United Kingdom,0,New Zealand
Austria,0,Fiji
Romania,0,Fiji
Austria,0,Papua New Guinea
Romania,0,Papua New Guinea
Austria,0,Solomon Islands
Denmark,0,Solomon Islands
Greece,0,Solomon Islands
Spain,0,Solomon Islands
Finland,0,Solomon Islands
Italy,0,Solomon Islands
Luxembourg,0,Solomon Islands
Portugal,0,Solomon Islands
Romania,0,Solomon Islands
United Kingdom,0,Solomon Islands
Austria,0,Vanuatu
Denmark,0,Vanuatu
Greece,0,Vanuatu
Spain,0,Vanuatu
Finland,0,Vanuatu
Italy,0,Vanuatu
Luxembourg,0,Vanuatu
Portugal,0,Vanuatu
Romania,0,Vanuatu
United Kingdom,0,Vanuatu
Austria,0,Kiribati
Romania,0,Kiribati
Austria,0,Marshall Islands
Romania,0,Marshall Islands
Austria,0,Federated States of Micronesia
Romania,0,Federated States of Micronesia
Austria,0,Nauru
Belgium,0,Nauru
Denmark,0,Nauru
Greece,0,Nauru
Spain,0,Nauru
Finland,0,Nauru
Italy,0,Nauru
Luxembourg,0,Nauru
Portugal,0,Nauru
Romania,0,Nauru
United Kingdom,0,Nauru
Austria,0,Palau
Romania,0,Palau
Austria,0,Samoa
Romania,0,Samoa
Austria,0,Tonga
Romania,0,Tonga
Austria,0,Tuvalu
Romania,0,Tuvalu
Austria,30,Stateless
Belgium,0,Stateless
Denmark,610,Stateless
Spain,25,Stateless
Finland,5,Stateless
Italy,0,Stateless
Luxembourg,0,Stateless
Netherlands,160,Stateless
Portugal,0,Stateless
Romania,0,Stateless
Sweden,365,Stateless
United Kingdom,0,Stateless
Austria,340,Unknown
Belgium,0,Unknown
Germany,3420,Unknown
Denmark,0,Unknown
Greece,0,Unknown
Spain,10,Unknown
Finland,0,Unknown
France,265,Unknown
Italy,0,Unknown
Luxembourg,0,Unknown
Netherlands,5,Unknown
Portugal,0,Unknown
Romania,0,Unknown
Sweden,175,Unknown
United Kingdom,7690,Unknown,677210
