to,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,from
Germany,470,395,370,410,470,595,510,470,,Russia
Estonia,0,0,0,0,0,0,0,,,Russia
Ireland,0,0,0,0,0,0,0,,,Russia
Greece,0,5,0,5,0,5,5,,,Russia
Spain,0,15,15,5,5,0,,,,Russia
France,270,355,305,250,220,250,265,,,Russia
Croatia,0,0,0,0,0,0,0,0,,Russia
Italy,0,5,5,0,0,0,10,,,Russia
Cyprus,5,0,0,0,0,5,0,,,Russia
Latvia,0,0,0,0,0,0,0,,,Russia
Lithuania,5,5,0,0,0,0,0,10,,Russia
Luxembourg,0,0,0,5,0,0,0,0,,Russia
Hungary,0,0,0,0,0,10,0,5,,Russia
Malta,0,0,0,0,0,0,0,,,Russia
Netherlands,15,20,15,10,5,15,10,5,,Russia
Austria,150,155,135,150,115,115,130,,,Russia
Poland,265,205,280,470,370,515,640,"1,040","1,230",Russia
Portugal,0,0,0,0,0,0,5,,,Russia
Romania,0,0,0,0,0,0,0,,,Russia
Slovenia,0,0,0,0,0,0,0,5,,Russia
Slovakia,0,0,0,0,0,5,0,,,Russia
Finland,0,5,0,15,20,15,30,15,5,Russia
Sweden,40,55,60,45,40,45,35,65,85,Russia
United Kingdom,20,15,5,5,0,10,5,,,Russia
Belgium,0,0,0,0,0,0,0,0,,San Marino
Bulgaria,0,0,0,0,0,0,0,0,,San Marino
Czech Republic,0,0,0,0,0,0,0,,,San Marino
Denmark,0,0,0,0,0,0,0,,,San Marino
Germany,0,0,0,0,0,0,0,0,,San Marino
Estonia,0,0,0,0,0,0,0,,,San Marino
Ireland,0,0,0,0,0,0,0,,,San Marino
Greece,0,0,0,0,0,0,0,,,San Marino
Spain,0,0,0,0,0,0,,,,San Marino
France,0,0,0,0,0,0,0,,,San Marino
Croatia,0,0,0,0,0,0,0,0,,San Marino
Italy,0,0,0,0,0,0,0,,,San Marino
Cyprus,0,0,0,0,0,0,0,,,San Marino
Latvia,0,0,0,0,0,0,0,,,San Marino
Lithuania,0,0,0,0,0,0,0,0,,San Marino
Luxembourg,0,0,0,0,0,0,0,0,,San Marino
Hungary,0,0,0,0,0,0,0,0,,San Marino
Malta,0,0,0,0,0,0,0,,,San Marino
Netherlands,0,0,0,0,0,0,0,0,,San Marino
Austria,0,0,0,0,0,0,0,,,San Marino
Poland,0,0,0,0,0,0,0,0,0,San Marino
Portugal,0,0,0,0,0,0,0,,,San Marino
Romania,0,0,0,0,0,0,0,,,San Marino
Slovenia,0,0,0,0,0,0,0,0,,San Marino
Slovakia,0,0,0,0,0,0,0,,,San Marino
Finland,0,0,0,0,0,0,0,0,0,San Marino
Sweden,0,0,0,0,0,0,0,0,0,San Marino
United Kingdom,0,0,0,0,0,0,0,,,San Marino
Belgium,50,45,45,55,20,35,25,45,,Ukraine
Bulgaria,10,5,15,10,0,5,0,5,,Ukraine
Czech Republic,60,60,90,80,45,50,40,,,Ukraine
Denmark,10,5,10,5,5,5,10,,,Ukraine
Germany,265,340,395,460,505,635,385,225,,Ukraine
Estonia,5,10,15,10,5,15,10,,,Ukraine
Ireland,5,5,5,0,10,5,0,,,Ukraine
Greece,20,20,30,25,20,20,15,,,Ukraine
Spain,160,200,250,190,180,330,,,,Ukraine
France,125,115,160,185,125,130,110,,,Ukraine
Croatia,0,0,0,5,0,0,0,0,,Ukraine
Italy,245,460,445,540,360,350,420,,,Ukraine
Cyprus,0,10,10,10,10,5,10,,,Ukraine
Latvia,5,10,5,10,0,0,5,,,Ukraine
Lithuania,0,15,5,10,0,0,5,5,,Ukraine
Luxembourg,0,5,0,5,5,0,0,5,,Ukraine
Hungary,0,0,10,5,5,0,0,0,,Ukraine
Malta,5,5,5,0,10,10,10,,,Ukraine
Netherlands,25,40,40,50,50,80,50,65,,Ukraine
Austria,60,45,55,60,45,50,35,,,Ukraine
Poland,240,270,245,205,155,220,190,130,230,Ukraine
Portugal,30,60,35,30,40,50,40,,,Ukraine
Romania,5,10,0,5,5,10,0,,,Ukraine
Slovenia,0,10,0,0,0,0,5,0,,Ukraine
Slovakia,0,0,10,0,0,0,0,,,Ukraine
Finland,0,5,10,5,5,10,20,5,5,Ukraine
Sweden,90,125,165,135,115,160,135,125,110,Ukraine
United Kingdom,20,20,15,40,25,15,25,,,Ukraine
Belgium,0,0,0,0,0,0,0,0,,Vatican City State
Bulgaria,0,0,0,0,0,0,0,0,,Vatican City State
Czech Republic,0,0,0,0,0,0,0,,,Vatican City State
Denmark,0,0,0,0,0,0,0,,,Vatican City State
Germany,0,0,0,0,0,0,0,0,,Vatican City State
Estonia,0,0,0,0,0,0,0,,,Vatican City State
Ireland,0,0,0,0,0,0,0,,,Vatican City State
Greece,0,0,0,0,0,0,0,,,Vatican City State
Spain,0,0,0,0,0,0,,,,Vatican City State
France,0,0,0,0,0,0,0,,,Vatican City State
Croatia,0,0,0,0,0,0,0,0,,Vatican City State
Italy,0,0,0,0,0,0,0,,,Vatican City State
Cyprus,0,0,0,0,0,0,0,,,Vatican City State
Latvia,0,0,0,0,0,0,0,,,Vatican City State
Lithuania,0,0,0,0,0,0,0,0,,Vatican City State
Luxembourg,0,0,0,0,0,0,0,0,,Vatican City State
Hungary,0,0,0,0,0,0,0,0,,Vatican City State
Malta,0,0,0,0,0,0,0,,,Vatican City State
Netherlands,0,0,0,0,0,0,0,0,,Vatican City State
Austria,0,0,0,0,0,0,0,,,Vatican City State
Poland,0,0,0,0,0,0,0,0,0,Vatican City State
Portugal,0,0,0,0,0,0,0,,,Vatican City State
Romania,0,0,0,0,0,0,0,,,Vatican City State
Slovenia,0,0,0,0,0,0,0,0,,Vatican City State
Slovakia,0,0,0,0,0,0,0,,,Vatican City State
Finland,0,0,0,0,0,0,0,0,0,Vatican City State
Sweden,0,0,0,0,0,0,0,0,0,Vatican City State
United Kingdom,0,0,0,0,0,0,0,,,Vatican City State
Belgium,15,15,10,10,5,15,5,0,,Angola
Bulgaria,0,0,0,0,0,0,0,0,,Angola
Czech Republic,0,0,0,0,0,0,0,,,Angola
Denmark,0,0,0,0,0,0,0,,,Angola
Germany,5,0,10,5,0,10,5,0,,Angola
Estonia,0,0,0,0,0,0,0,,,Angola
Ireland,0,0,0,0,0,0,0,,,Angola
Greece,0,0,0,0,0,0,0,,,Angola
Spain,0,0,0,0,0,0,,,,Angola
France,40,45,55,55,25,60,40,,,Angola
Croatia,0,0,0,0,0,0,0,0,,Angola
Italy,0,0,0,0,0,0,0,,,Angola
Cyprus,0,0,0,0,0,0,0,,,Angola
Latvia,0,0,0,0,0,0,0,,,Angola
Lithuania,0,0,0,0,0,0,0,0,,Angola
Luxembourg,0,0,0,0,0,0,0,0,,Angola
Hungary,0,0,0,0,0,0,5,0,,Angola
Malta,0,0,0,0,0,0,0,,,Angola
Netherlands,0,0,0,5,0,0,0,0,,Angola
Austria,0,0,5,0,0,0,0,,,Angola
Poland,0,0,0,0,0,0,0,0,0,Angola
Portugal,0,0,0,0,0,0,0,,,Angola
Romania,0,0,0,0,0,0,0,,,Angola
Slovenia,0,0,0,0,0,0,0,0,,Angola
Slovakia,0,0,0,0,0,0,0,,,Angola
Finland,0,0,0,5,0,0,0,0,0,Angola
Sweden,0,0,0,5,0,5,0,0,5,Angola
United Kingdom,5,10,0,0,5,0,5,,,Angola
Belgium,25,30,30,20,25,20,25,25,,Cameroon
Bulgaria,0,0,0,0,0,0,0,0,,Cameroon
Czech Republic,0,0,0,0,0,0,0,,,Cameroon
Denmark,0,0,0,0,0,0,0,,,Cameroon
Germany,65,85,55,55,35,110,105,145,,Cameroon
Estonia,0,0,0,0,0,0,0,,,Cameroon
Ireland,5,0,0,0,0,0,0,,,Cameroon
Greece,20,20,20,15,30,15,20,,,Cameroon
Spain,10,5,30,5,15,15,,,,Cameroon
France,25,20,35,30,25,25,30,,,Cameroon
Croatia,0,0,0,0,0,0,0,0,,Cameroon
Italy,10,15,25,10,15,15,20,,,Cameroon
Cyprus,0,0,0,5,0,0,0,,,Cameroon
Latvia,0,0,0,0,0,0,0,,,Cameroon
Lithuania,0,0,0,0,0,0,0,0,,Cameroon
Luxembourg,0,0,0,0,0,0,0,0,,Cameroon
Hungary,5,15,35,50,100,160,140,100,,Cameroon
Malta,0,0,0,0,0,0,0,,,Cameroon
Netherlands,5,0,0,5,0,5,0,5,,Cameroon
Austria,5,5,5,10,10,0,10,,,Cameroon
Poland,0,0,0,0,0,0,0,0,0,Cameroon
Portugal,0,0,0,0,0,0,0,,,Cameroon
Romania,0,0,0,0,0,0,0,,,Cameroon
Slovenia,0,0,0,0,0,0,0,0,,Cameroon
Slovakia,0,0,0,0,0,0,0,,,Cameroon
Finland,5,0,5,5,5,0,0,0,5,Cameroon
Sweden,5,5,5,5,5,5,5,5,10,Cameroon
United Kingdom,20,15,15,10,10,5,5,,,Cameroon
Belgium,5,0,0,0,0,5,0,5,,Central African Republic
Bulgaria,0,0,0,0,0,0,0,0,,Central African Republic
Czech Republic,0,0,0,0,0,0,0,,,Central African Republic
Denmark,0,0,0,0,0,0,0,,,Central African Republic
Germany,5,0,5,0,0,0,5,0,,Central African Republic
Estonia,0,0,0,0,0,0,0,,,Central African Republic
Ireland,0,0,0,0,0,0,0,,,Central African Republic
Greece,0,0,0,0,0,0,0,,,Central African Republic
Spain,0,0,0,0,0,0,,,,Central African Republic
France,40,70,75,75,50,65,75,,,Central African Republic
Croatia,0,0,0,0,0,0,0,0,,Central African Republic
Italy,5,0,0,5,0,0,0,,,Central African Republic
Cyprus,0,0,0,0,0,0,0,,,Central African Republic
Latvia,0,0,0,0,0,0,0,,,Central African Republic
Lithuania,0,0,0,0,0,0,0,0,,Central African Republic
Luxembourg,0,0,0,0,0,0,0,0,,Central African Republic
Hungary,0,0,0,0,0,0,0,0,,Central African Republic
Malta,0,0,0,0,0,0,0,,,Central African Republic
Netherlands,0,0,0,0,0,0,0,0,,Central African Republic
Austria,0,0,0,0,0,0,0,,,Central African Republic
Poland,0,0,0,0,0,0,0,0,0,Central African Republic
Portugal,0,0,0,0,0,0,0,,,Central African Republic
Romania,0,0,0,0,0,0,0,,,Central African Republic
Slovenia,0,0,0,0,0,0,0,0,,Central African Republic
Slovakia,0,0,0,0,0,0,0,,,Central African Republic
Finland,0,0,0,0,0,0,0,0,0,Central African Republic
Sweden,0,0,0,0,0,0,0,0,0,Central African Republic
United Kingdom,0,0,0,0,0,0,0,,,Central African Republic
Belgium,0,0,0,0,0,0,0,0,,Chad
Bulgaria,0,0,0,0,0,0,0,0,,Chad
Czech Republic,0,0,0,0,0,0,0,,,Chad
Denmark,0,0,0,0,0,0,0,,,Chad
Germany,20,10,25,5,5,5,15,10,,Chad
Estonia,0,0,0,0,0,0,0,,,Chad
Ireland,0,0,0,0,0,0,0,,,Chad
Greece,0,0,0,0,0,0,0,,,Chad
Spain,0,0,0,0,0,0,,,,Chad
France,20,20,30,15,30,25,25,,,Chad
Croatia,0,0,0,0,0,0,0,0,,Chad
Italy,0,0,5,0,0,0,10,,,Chad
Cyprus,0,0,0,0,0,0,0,,,Chad
Latvia,0,0,0,0,0,0,0,,,Chad
Lithuania,0,0,0,0,0,0,0,0,,Chad
Luxembourg,0,0,0,0,0,0,0,0,,Chad
Hungary,0,0,0,0,0,0,0,0,,Chad
Malta,0,0,0,0,0,0,0,,,Chad
Netherlands,0,0,0,0,0,0,5,0,,Chad
Austria,0,0,0,0,0,0,0,,,Chad
Poland,0,0,0,0,0,0,0,0,0,Chad
Portugal,0,0,0,0,0,0,0,,,Chad
Romania,0,0,0,0,0,0,0,,,Chad
Slovenia,0,0,0,0,0,0,0,0,,Chad
Slovakia,0,0,0,0,0,0,0,,,Chad
Finland,0,0,0,0,0,0,0,0,0,Chad
Sweden,5,0,5,0,0,0,0,5,5,Chad
United Kingdom,5,5,0,5,0,0,5,,,Chad
Belgium,0,0,0,0,0,0,0,0,,Congo
Bulgaria,0,0,0,0,0,0,0,0,,Congo
Czech Republic,0,0,0,0,0,0,0,,,Congo
Denmark,0,0,0,0,0,0,0,,,Congo
Germany,5,5,5,10,5,5,5,5,,Congo
Estonia,0,0,0,0,0,0,0,,,Congo
Ireland,0,0,0,0,0,0,0,,,Congo
Greece,5,5,5,0,0,5,0,,,Congo
Spain,0,0,0,0,0,0,,,,Congo
France,35,50,75,55,45,40,65,,,Congo
Croatia,0,0,0,0,0,0,0,0,,Congo
Italy,10,5,5,5,0,5,5,,,Congo
Cyprus,0,0,0,0,5,0,0,,,Congo
Latvia,0,0,0,0,0,0,0,,,Congo
Lithuania,0,0,0,0,0,0,0,0,,Congo
Luxembourg,0,0,0,0,0,0,0,0,,Congo
Hungary,10,0,5,0,60,260,235,60,,Congo
Malta,0,0,0,0,0,0,0,,,Congo
Netherlands,5,5,10,5,5,5,0,0,,Congo
Austria,5,0,0,5,0,0,0,,,Congo
Poland,0,0,0,0,0,0,0,0,0,Congo
Portugal,0,0,0,0,0,0,5,,,Congo
Romania,0,0,0,0,0,0,0,,,Congo
Slovenia,0,0,0,0,0,0,0,0,,Congo
Slovakia,0,0,0,0,0,0,0,,,Congo
Finland,0,0,0,0,0,0,0,0,0,Congo
Sweden,0,0,0,0,0,5,5,15,0,Congo
United Kingdom,5,0,0,0,0,0,5,,,Congo
Belgium,70,35,70,45,35,55,45,80,,Democratic Republic of the Congo
Bulgaria,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Czech Republic,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Denmark,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Germany,15,10,10,5,15,25,10,20,,Democratic Republic of the Congo
Estonia,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Ireland,5,10,0,5,5,5,5,,,Democratic Republic of the Congo
Greece,10,20,10,10,10,15,10,,,Democratic Republic of the Congo
Spain,0,5,0,0,0,0,,,,Democratic Republic of the Congo
France,275,340,320,375,295,300,300,,,Democratic Republic of the Congo
Croatia,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Italy,15,10,5,10,5,5,5,,,Democratic Republic of the Congo
Cyprus,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Latvia,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Lithuania,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Luxembourg,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Hungary,0,25,15,30,50,105,95,55,,Democratic Republic of the Congo
Malta,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Netherlands,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Austria,10,0,5,5,5,5,30,,,Democratic Republic of the Congo
Poland,0,0,0,0,0,0,0,0,0,Democratic Republic of the Congo
Portugal,0,0,5,0,0,5,0,,,Democratic Republic of the Congo
Romania,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Slovenia,0,0,0,0,0,0,0,0,,Democratic Republic of the Congo
Slovakia,0,0,0,0,0,0,0,,,Democratic Republic of the Congo
Finland,0,0,0,0,0,10,0,5,0,Democratic Republic of the Congo
Sweden,5,5,0,5,5,5,5,0,5,Democratic Republic of the Congo
United Kingdom,25,30,15,15,10,15,10,,,Democratic Republic of the Congo
Belgium,0,0,0,0,0,0,0,0,,Equatorial Guinea
Bulgaria,0,0,0,0,0,0,0,0,,Equatorial Guinea
Czech Republic,0,0,0,0,0,0,0,,,Equatorial Guinea
Denmark,0,0,0,0,0,0,0,,,Equatorial Guinea
Germany,0,0,0,0,0,0,0,0,,Equatorial Guinea
Estonia,0,0,0,0,0,0,0,,,Equatorial Guinea
Ireland,0,0,0,0,0,0,0,,,Equatorial Guinea
Greece,0,0,0,0,0,0,0,,,Equatorial Guinea
Spain,0,0,0,0,0,0,,,,Equatorial Guinea
France,0,0,0,0,0,0,0,,,Equatorial Guinea
Croatia,0,0,0,0,0,0,0,0,,Equatorial Guinea
Italy,0,0,0,0,0,0,0,,,Equatorial Guinea
Cyprus,0,0,0,0,0,0,0,,,Equatorial Guinea
Latvia,0,0,0,0,0,0,0,,,Equatorial Guinea
Lithuania,0,0,0,0,0,0,0,0,,Equatorial Guinea
Luxembourg,0,0,0,0,0,0,0,0,,Equatorial Guinea
Hungary,0,0,0,0,0,0,0,0,,Equatorial Guinea
Malta,0,0,0,0,0,0,0,,,Equatorial Guinea
Netherlands,0,0,0,0,0,0,0,0,,Equatorial Guinea
Austria,0,0,0,0,0,0,0,,,Equatorial Guinea
Poland,0,0,0,0,0,0,0,0,0,Equatorial Guinea
Portugal,0,0,0,0,0,0,0,,,Equatorial Guinea
Romania,0,0,0,0,0,0,0,,,Equatorial Guinea
Slovenia,0,0,0,0,0,0,0,0,,Equatorial Guinea
Slovakia,0,0,0,0,0,0,0,,,Equatorial Guinea
Finland,0,0,0,0,0,0,0,0,0,Equatorial Guinea
Sweden,0,0,0,0,0,0,0,0,0,Equatorial Guinea
United Kingdom,0,0,0,0,0,0,0,,,Equatorial Guinea
Belgium,0,0,0,0,0,5,0,5,,Gabon
Bulgaria,0,0,0,0,0,0,0,0,,Gabon
Czech Republic,0,0,0,0,0,0,0,,,Gabon
Denmark,0,0,0,0,0,0,0,,,Gabon
Germany,0,0,0,0,0,0,0,0,,Gabon
Estonia,0,0,0,0,0,0,0,,,Gabon
Ireland,0,0,0,0,0,0,0,,,Gabon
Greece,0,0,0,0,0,0,0,,,Gabon
Spain,0,0,0,0,0,0,,,,Gabon
France,0,5,5,10,10,5,5,,,Gabon
Croatia,0,0,0,0,0,0,0,0,,Gabon
Italy,0,0,0,0,5,0,0,,,Gabon
Cyprus,0,0,0,0,0,0,0,,,Gabon
Latvia,0,0,0,0,0,0,0,,,Gabon
Lithuania,0,0,0,0,0,0,0,0,,Gabon
Luxembourg,0,0,0,0,0,0,0,0,,Gabon
Hungary,0,0,0,0,5,0,0,0,,Gabon
Malta,0,0,0,0,0,0,0,,,Gabon
Netherlands,0,0,0,0,0,0,0,0,,Gabon
Austria,0,0,0,0,0,0,0,,,Gabon
Poland,0,0,0,0,0,0,0,0,0,Gabon
Portugal,0,0,0,0,0,0,0,,,Gabon
Romania,0,0,0,0,0,0,0,,,Gabon
Slovenia,0,0,0,0,0,0,0,0,,Gabon
Slovakia,0,0,0,0,0,0,0,,,Gabon
Finland,0,0,0,0,0,0,0,0,0,Gabon
Sweden,0,0,0,0,0,0,0,0,0,Gabon
United Kingdom,0,0,0,0,0,0,0,,,Gabon
Belgium,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Bulgaria,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Czech Republic,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Denmark,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Germany,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Estonia,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Ireland,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Greece,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Spain,0,0,0,0,0,0,,,,São Tomé and Príncipe
France,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Croatia,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Italy,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Cyprus,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Latvia,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Lithuania,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Luxembourg,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Hungary,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Malta,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Netherlands,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Austria,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Poland,0,0,0,0,0,0,0,0,0,São Tomé and Príncipe
Portugal,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Romania,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Slovenia,0,0,0,0,0,0,0,0,,São Tomé and Príncipe
Slovakia,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Finland,0,0,0,0,0,0,0,0,0,São Tomé and Príncipe
Sweden,0,0,0,0,0,0,0,0,0,São Tomé and Príncipe
United Kingdom,0,0,0,0,0,0,0,,,São Tomé and Príncipe
Belgium,10,0,15,5,20,30,65,35,,Burundi
Bulgaria,0,0,0,0,0,0,0,0,,Burundi
Czech Republic,0,0,0,0,0,0,0,,,Burundi
Denmark,0,0,0,0,0,0,0,,,Burundi
Germany,0,0,0,0,0,0,0,0,,Burundi
Estonia,0,0,0,0,0,0,0,,,Burundi
Ireland,0,0,0,0,0,0,0,,,Burundi
Greece,0,0,0,0,0,0,0,,,Burundi
Spain,0,0,0,0,0,0,,,,Burundi
France,5,5,0,0,5,5,10,,,Burundi
Croatia,0,0,0,0,0,0,0,0,,Burundi
Italy,0,0,0,0,0,0,0,,,Burundi
Cyprus,0,0,0,0,0,0,0,,,Burundi
Latvia,0,0,0,0,0,0,0,,,Burundi
Lithuania,0,0,0,0,0,0,0,0,,Burundi
Luxembourg,0,0,0,0,0,0,0,0,,Burundi
Hungary,0,0,0,0,0,0,0,5,,Burundi
Malta,0,0,0,0,0,0,0,,,Burundi
Netherlands,0,0,5,5,5,5,5,0,,Burundi
Austria,0,0,0,0,0,0,0,,,Burundi
Poland,0,0,0,0,0,0,0,0,0,Burundi
Portugal,0,0,0,0,0,0,0,,,Burundi
Romania,0,0,0,0,0,0,0,,,Burundi
Slovenia,0,0,0,0,0,0,0,0,,Burundi
Slovakia,0,0,0,0,0,0,0,,,Burundi
Finland,0,0,0,5,0,0,0,0,0,Burundi
Sweden,5,0,5,5,5,5,5,10,5,Burundi
United Kingdom,0,0,0,5,0,5,0,,,Burundi
Belgium,0,0,0,0,0,0,0,0,,Comoros
Bulgaria,0,0,0,0,0,0,0,0,,Comoros
Czech Republic,0,0,0,0,0,0,0,,,Comoros
Denmark,0,0,0,0,0,0,0,,,Comoros
Germany,5,0,0,0,0,0,0,0,,Comoros
Estonia,0,0,0,0,0,0,0,,,Comoros
Ireland,0,0,0,0,0,0,0,,,Comoros
Greece,0,0,0,0,10,0,0,,,Comoros
Spain,0,0,0,0,0,0,,,,Comoros
France,15,40,55,30,30,45,30,,,Comoros
Croatia,0,0,0,0,0,0,0,0,,Comoros
Italy,0,0,0,0,0,0,0,,,Comoros
Cyprus,0,0,0,0,0,0,0,,,Comoros
Latvia,0,0,0,0,0,0,0,,,Comoros
Lithuania,0,0,0,0,0,0,0,0,,Comoros
Luxembourg,0,0,0,0,0,0,0,0,,Comoros
Hungary,25,5,15,15,5,20,45,0,,Comoros
Malta,0,0,0,0,0,0,0,,,Comoros
Netherlands,0,0,0,0,0,0,0,0,,Comoros
Austria,0,0,0,0,0,0,0,,,Comoros
Poland,0,0,0,0,0,0,0,0,0,Comoros
Portugal,0,0,0,0,0,0,0,,,Comoros
Romania,0,0,0,0,0,0,0,,,Comoros
Slovenia,0,0,0,0,0,0,0,0,,Comoros
Slovakia,0,0,0,0,0,0,0,,,Comoros
Finland,0,0,0,0,0,0,0,0,0,Comoros
Sweden,0,0,0,0,0,0,0,0,0,Comoros
United Kingdom,0,0,0,0,0,0,0,,,Comoros
Belgium,10,10,15,5,5,5,15,20,,Djibouti
Bulgaria,0,0,0,0,0,0,0,0,,Djibouti
Czech Republic,0,0,0,0,0,0,0,,,Djibouti
Denmark,0,0,0,0,0,0,0,,,Djibouti
Germany,0,0,0,0,5,0,0,0,,Djibouti
Estonia,0,0,0,0,0,0,0,,,Djibouti
Ireland,0,0,0,0,0,0,0,,,Djibouti
Greece,0,0,0,0,0,0,0,,,Djibouti
Spain,0,0,0,0,0,0,,,,Djibouti
France,5,5,15,10,10,5,10,,,Djibouti
Croatia,0,0,0,0,0,0,0,0,,Djibouti
Italy,0,0,0,0,0,0,0,,,Djibouti
Cyprus,0,0,0,0,0,0,0,,,Djibouti
Latvia,0,0,0,0,0,0,0,,,Djibouti
Lithuania,0,0,0,0,0,0,0,0,,Djibouti
Luxembourg,0,0,0,0,0,0,0,0,,Djibouti
Hungary,0,0,0,0,0,0,0,0,,Djibouti
Malta,0,0,0,0,0,0,0,,,Djibouti
Netherlands,0,0,0,0,0,0,0,0,,Djibouti
Austria,0,0,0,0,0,0,0,,,Djibouti
Poland,0,0,0,0,0,0,0,0,0,Djibouti
Portugal,0,0,0,0,0,0,0,,,Djibouti
Romania,0,0,0,0,0,0,0,,,Djibouti
Slovenia,0,0,0,0,0,0,0,0,,Djibouti
Slovakia,0,0,0,0,0,0,0,,,Djibouti
Finland,0,0,0,0,0,0,0,0,0,Djibouti
Sweden,5,5,0,0,5,0,5,5,5,Djibouti
United Kingdom,0,0,0,0,0,0,0,,,Djibouti
Belgium,15,10,20,40,60,35,25,40,,Eritrea
Bulgaria,0,0,0,0,0,0,0,0,,Eritrea
Czech Republic,0,0,0,0,0,0,0,,,Eritrea
Denmark,5,10,25,75,215,225,230,,,Eritrea
Germany,625,355,315,365,620,"1,070","1,220",985,,Eritrea
Estonia,0,0,0,0,0,0,0,,,Eritrea
Ireland,0,0,0,0,0,0,0,,,Eritrea
Greece,15,5,10,5,10,10,5,,,Eritrea
Spain,0,0,0,0,0,0,,,,Eritrea
France,75,75,75,85,195,100,75,,,Eritrea
Croatia,0,0,0,0,0,0,0,0,,Eritrea
Italy,35,40,40,25,15,40,25,,,Eritrea
Cyprus,0,0,0,0,0,0,0,,,Eritrea
Latvia,0,0,0,0,0,0,0,,,Eritrea
Lithuania,0,0,0,0,0,0,0,0,,Eritrea
Luxembourg,0,5,5,5,5,5,10,5,,Eritrea
Hungary,15,0,15,45,40,35,195,170,,Eritrea
Malta,5,5,5,5,5,0,0,,,Eritrea
Netherlands,30,25,85,360,"1,080","1,250",995,"1,280",,Eritrea
Austria,5,0,5,15,10,15,10,,,Eritrea
Poland,0,0,0,0,0,0,0,0,0,Eritrea
Portugal,0,0,0,0,0,0,0,,,Eritrea
Romania,0,0,0,0,0,0,0,,,Eritrea
Slovenia,0,0,0,0,0,0,0,0,,Eritrea
Slovakia,0,0,0,0,0,0,0,,,Eritrea
Finland,0,0,5,0,0,0,5,10,5,Eritrea
Sweden,220,210,285,470,"1,105","1,055",910,910,815,Eritrea
United Kingdom,310,205,195,90,270,410,565,,,Eritrea
Belgium,5,0,5,5,10,15,15,15,,Ethiopia
Bulgaria,0,0,0,0,0,0,0,0,,Ethiopia
Czech Republic,0,0,0,0,0,0,0,,,Ethiopia
Denmark,5,5,5,5,5,5,5,,,Ethiopia
Germany,120,80,50,85,100,295,230,130,,Ethiopia
Estonia,0,0,0,0,0,0,0,,,Ethiopia
Ireland,0,0,0,0,0,0,0,,,Ethiopia
Greece,5,0,5,10,5,10,5,,,Ethiopia
Spain,0,0,0,0,0,5,,,,Ethiopia
France,15,20,30,30,40,40,50,,,Ethiopia
Croatia,0,0,0,0,0,0,0,0,,Ethiopia
Italy,10,5,0,5,5,15,5,,,Ethiopia
Cyprus,0,0,0,0,0,0,0,,,Ethiopia
Latvia,0,0,0,0,0,0,0,,,Ethiopia
Lithuania,0,0,0,0,0,0,0,0,,Ethiopia
Luxembourg,0,0,0,0,0,0,0,0,,Ethiopia
Hungary,0,0,5,0,5,5,5,15,,Ethiopia
Malta,5,0,0,0,0,0,0,,,Ethiopia
Netherlands,5,5,10,15,10,10,25,25,,Ethiopia
Austria,10,0,5,5,0,10,15,,,Ethiopia
Poland,0,0,0,0,0,0,0,0,0,Ethiopia
Portugal,0,0,0,0,0,0,0,,,Ethiopia
Romania,0,0,0,0,0,0,0,,,Ethiopia
Slovenia,0,0,0,0,0,0,0,0,,Ethiopia
Slovakia,0,0,0,0,0,0,0,,,Ethiopia
